Date,Max_temperatures
01/01/2020,11.7
01/01/2020,10.3
01/01/2020,11.3
01/01/2020,10.5
01/01/2020,9.9
01/01/2020,8.9
01/01/2020,8.9
01/01/2020,7.3
01/01/2020,7.6
01/01/2020,7.3
01/01/2020,12.3
01/01/2020,15.1
01/01/2020,16.1
01/01/2020,19.7
01/01/2020,20.9
01/01/2020,22
01/01/2020,22.7
01/01/2020,22.4
01/01/2020,20.9
01/01/2020,17.9
01/01/2020,14.9
01/01/2020,12.8
01/01/2020,12.8
01/01/2020,12.4
02/01/2020,11.1
02/01/2020,11.2
02/01/2020,10.4
02/01/2020,10.3
02/01/2020,9.3
02/01/2020,8.9
02/01/2020,10
02/01/2020,10.4
02/01/2020,10.6
02/01/2020,9.2
02/01/2020,13.3
02/01/2020,15.3
02/01/2020,16.2
02/01/2020,19.2
02/01/2020,20.2
02/01/2020,20.9
02/01/2020,20.9
02/01/2020,20.8
02/01/2020,19.6
02/01/2020,17
02/01/2020,15.1
02/01/2020,13.7
02/01/2020,12.9
02/01/2020,11.4
03/01/2020,10.1
03/01/2020,9.7
03/01/2020,9
03/01/2020,8.6
03/01/2020,7.4
03/01/2020,7.4
03/01/2020,6.2
03/01/2020,5.3
03/01/2020,4.9
03/01/2020,6.3
03/01/2020,10.9
03/01/2020,13.9
03/01/2020,15.2
03/01/2020,19.2
03/01/2020,21.1
03/01/2020,21.9
03/01/2020,22.3
03/01/2020,22.8
03/01/2020,20.8
03/01/2020,17.8
03/01/2020,14.4
03/01/2020,13.2
03/01/2020,12.2
03/01/2020,10.9
04/01/2020,11.3
04/01/2020,9.4
04/01/2020,7.2
04/01/2020,6.4
04/01/2020,6
04/01/2020,5.5
04/01/2020,6.3
04/01/2020,5.3
04/01/2020,5.1
04/01/2020,7.6
04/01/2020,12.1
04/01/2020,14.9
04/01/2020,19.1
04/01/2020,21.6
04/01/2020,24.1
04/01/2020,25.5
04/01/2020,25.7
04/01/2020,25.7
04/01/2020,23.5
04/01/2020,19.5
04/01/2020,15.8
04/01/2020,14
04/01/2020,12.3
04/01/2020,12.4
05/01/2020,12
05/01/2020,9.8
05/01/2020,9.4
05/01/2020,9
05/01/2020,9.3
05/01/2020,8.9
05/01/2020,8.4
05/01/2020,8.6
05/01/2020,8.7
05/01/2020,7.6
05/01/2020,13.5
05/01/2020,17.7
05/01/2020,18.4
05/01/2020,23.9
05/01/2020,26.1
05/01/2020,27.4
05/01/2020,27.3
05/01/2020,26.7
05/01/2020,24.6
05/01/2020,21.4
05/01/2020,18.3
05/01/2020,16.4
05/01/2020,15.2
05/01/2020,14.1
06/01/2020,12.9
06/01/2020,11.5
06/01/2020,12.2
06/01/2020,12.3
06/01/2020,10.8
06/01/2020,10
06/01/2020,8.3
